,Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT,Label,Pos_home,P_home,GD_home,Form Score_home,Pos_away,P_away,GD_away,Form Score_away,H2H Home Points,H2H Away Points
123,416247,Liverpool,Leeds United,1,1,1,2,-1,5,67,28,20.8266,19,31,-30,2.0736,0,6
124,416254,Arsenal,Nottingham,1,0,5,0,1,2,84,45,20.2195,16,38,-30,19.6514,9,3
125,416246,Man United,West Ham,1,0,1,0,1,3,75,15,32.3982,14,40,-13,13.278,12,0
126,416235,Wolverhampton,Brighton Hove,2,2,2,3,-1,13,41,-27,7.306,6,62,19,12.2068,4,7
127,416239,Nottingham,Brentford,1,1,2,2,0,16,38,-30,19.6514,9,59,12,31.0782,8,2
128,416240,Man City,Fulham,1,1,2,1,1,1,89,61,16.5268,10,52,2,13.5268,9,6
129,416241,Leeds United,Bournemouth,1,2,4,3,1,19,31,-30,2.0736,15,39,-34,3.0,6,0
130,416242,Everton,Leicester City,0,1,0,2,-1,17,36,-23,21.2054,18,34,-17,16.8854,2,5
131,416243,Chelsea,Arsenal,0,0,0,1,-1,12,44,-9,8.7398,2,84,45,20.2195,7,4
132,416236,West Ham,Crystal Palace,1,1,1,2,-1,14,40,-13,13.278,11,45,-9,16.5066,7,7
133,416238,Southampton,Newcastle,0,1,1,4,-1,20,25,-37,4.2998,4,71,35,14.9466,6,3
134,416244,Aston Villa,Man United,2,1,3,1,1,7,61,5,22.1062,3,75,15,32.3982,10,4
135,416237,Tottenham,Liverpool,0,2,1,2,-1,8,60,7,17.2195,5,67,28,20.8266,9,3
136,416230,Man City,Brentford,1,1,1,2,-1,1,89,61,16.5268,9,59,12,31.0782,9,6
137,416226,West Ham,Leicester City,0,1,0,2,-1,14,40,-13,13.278,18,34,-17,16.8854,3,3
138,416227,Tottenham,Leeds United,1,2,4,3,1,8,60,7,17.2195,19,31,-30,2.0736,3,3
